Dataset,TrainingRelease,%DataTraining,%BugInTraining,%BugInTesting,Classifier,Balancing,Selection,CostSensitive,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,6,92.82,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,929.0,110.0,448.0,55.0,0.8941289701636189,0.9441056910569106,0.9616589445464347,0.763257945834892,
BOOKKEEPER,output-mean,74.58,50.0,50.0,Random Forest,Smote,No selection,Sensitive threshold,566.1666666666666,64.16666666666667,289.8333333333333,22.166666666666668,0.9087610221341853,0.9584545799095529,0.9702766571207159,0.8116945014745598,
BOOKKEEPER,1,42.18,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,285.0,52.0,154.0,23.0,0.8456973293768546,0.9253246753246753,0.8364487454293279,0.6889573819167647,
BOOKKEEPER,2,68.05,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,308.0,10.0,196.0,0.0,0.9685534591194969,1.0,0.9757281553398058,0.9591661635260096,
BOOKKEEPER,3,73.96,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,464.0,36.0,244.0,27.0,0.928,0.945010183299389,0.9082193773639802,0.822116669901597,
BOOKKEEPER,4,82.09,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,655.0,97.0,275.0,1.0,0.8710106382978723,0.9984756097560976,0.8688614607920273,0.7813715277777777,
BOOKKEEPER,5,88.38,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,782.0,131.0,371.0,1.0,0.8565169769989047,0.9987228607918263,0.8688833427465108,0.7737199207045873,
BOOKKEEPER,6,92.82,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,946.0,116.0,442.0,38.0,0.8907721280602636,0.9613821138211383,0.87674840458082,0.777007763992653,
BOOKKEEPER,output-mean,74.58,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,573.3333333333334,73.66666666666667,280.3333333333333,15.0,0.893425088642232,0.9714859071655212,0.8891482477087452,0.8003899046365649,
BOOKKEEPER,1,50.0,45.91,45.91,Random Forest,No sampling,Best First,No cost sensitive,139.0,0.0,118.0,0.0,1.0,1.0,1.0,1.0,
BOOKKEEPER,2,50.0,42.02,42.02,Random Forest,No sampling,Best First,No cost sensitive,413.0,4.0,320.0,34.0,0.9904076738609112,0.9239373601789709,0.9909685972325794,0.900124767339592,
BOOKKEEPER,3,50.0,42.02,42.02,Random Forest,No sampling,Best First,No cost sensitive,826.0,8.0,640.0,68.0,0.9904076738609112,0.9239373601789709,0.9909685972325794,0.900124767339592,
BOOKKEEPER,4,50.0,41.01,41.01,Random Forest,No sampling,Best First,No cost sensitive,1970.0,10.0,1360.0,1.0,0.9949494949494949,0.9994926433282597,0.9995722649957226,0.9931881172116117,
BOOKKEEPER,5,50.0,40.81,40.81,Random Forest,No sampling,Best First,No cost sensitive,4105.0,33.0,2799.0,2.0,0.9920251329144514,0.9995130265400536,0.9994967768959981,0.9895418340203604,
BOOKKEEPER,6,50.0,40.99,40.99,Random Forest,No sampling,Best First,No cost sensitive,8305.0,72.0,5722.0,36.0,0.9914050376029605,0.9956839707469128,0.9994075971335229,0.9841909727345489,
BOOKKEEPER,output-mean,50.0,42.13,42.13,Random Forest,No sampling,Best First,No cost sensitive,2626.3333333333335,21.166666666666668,1826.5,23.5,0.9931991688647881,0.9737607268288614,0.9967356389150671,0.9611950764409508,
BOOKKEEPER,1,50.0,45.91,45.91,Random Forest,No sampling,Best First,Sensitive threshold,139.0,49.0,69.0,0.0,0.7393617021276596,1.0,1.0,0.603682140047207,
BOOKKEEPER,2,50.0,42.02,42.02,Random Forest,No sampling,Best First,Sensitive threshold,447.0,90.0,234.0,0.0,0.8324022346368715,1.0,0.9909685972325794,0.7509207210699748,
BOOKKEEPER,3,50.0,42.02,42.02,Random Forest,No sampling,Best First,Sensitive threshold,894.0,144.0,504.0,0.0,0.861271676300578,1.0,0.9909685972325794,0.8023076923076923,
BOOKKEEPER,4,50.0,41.01,41.01,Random Forest,No sampling,Best First,Sensitive threshold,1970.0,40.0,1330.0,1.0,0.9800995024875622,0.9994926433282597,0.9994835701615024,0.9745251205063845,
BOOKKEEPER,5,50.0,40.81,40.81,Random Forest,No sampling,Best First,Sensitive threshold,4105.0,97.0,2735.0,2.0,0.9769157544026654,0.9995130265400536,0.9994046955796841,0.9703140190216268,
BOOKKEEPER,6,50.0,40.99,40.99,Random Forest,No sampling,Best First,Sensitive threshold,8337.0,201.0,5593.0,4.0,0.9764581869290232,0.9995204411941014,0.9993849600376629,0.9698641495507367,
BOOKKEEPER,output-mean,50.0,42.13,42.13,Random Forest,No sampling,Best First,Sensitive threshold,2648.6666666666665,103.5,1744.1666666666667,1.1666666666666667,0.8944181761473934,0.9997543518437357,0.9967017367073346,0.8452689737506037,
BOOKKEEPER,1,50.0,45.91,45.91,Random Forest,No sampling,Best First,Sensitive learning,139.0,36.0,82.0,0.0,0.7942857142857143,1.0,0.847457627118644,0.7113080379430855,
BOOKKEEPER,2,50.0,42.02,42.02,Random Forest,No sampling,Best First,Sensitive learning,447.0,72.0,252.0,0.0,0.861271676300578,1.0,0.8888888888888888,0.8023076923076923,
BOOKKEEPER,3,50.0,42.02,42.02,Random Forest,No sampling,Best First,Sensitive learning,894.0,144.0,504.0,0.0,0.861271676300578,1.0,0.8888888888888888,0.8023076923076923,
BOOKKEEPER,4,50.0,41.01,41.01,Random Forest,No sampling,Best First,Sensitive learning,1970.0,35.0,1335.0,1.0,0.9825436408977556,0.9994926433282597,0.9869725990363927,0.9776443066363377,
BOOKKEEPER,5,50.0,40.81,40.81,Random Forest,No sampling,Best First,Sensitive learning,4105.0,64.0,2768.0,2.0,0.9846485967858,0.9995130265400536,0.9884570782417782,0.9802452642233762,
BOOKKEEPER,6,50.0,40.99,40.99,Random Forest,No sampling,Best First,Sensitive learning,8337.0,178.0,5616.0,4.0,0.9790957134468585,0.9995204411941014,0.9843995026129292,0.9732615351899283,
BOOKKEEPER,output-mean,50.0,42.13,42.13,Random Forest,No sampling,Best First,Sensitive learning,2648.6666666666665,88.16666666666667,1759.5,1.1666666666666667,0.9105195030028806,0.9997543518437357,0.930844097464587,0.8745124214346855,
BOOKKEEPER,1,51.96,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,118.0,5.0,113.0,21.0,0.959349593495935,0.8489208633093526,0.9662845994390928,0.7983705491852746,
BOOKKEEPER,2,53.69,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,414.0,27.0,297.0,33.0,0.9387755102040817,0.9261744966442953,0.9724707929405916,0.8406991879997522,
BOOKKEEPER,3,53.69,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,836.0,40.0,608.0,58.0,0.954337899543379,0.9351230425055929,0.9820925511641395,0.8700694379958935,
BOOKKEEPER,4,54.13,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,1935.0,18.0,1352.0,36.0,0.9907834101382489,0.9817351598173516,0.9969477126361438,0.9666601248706885,
BOOKKEEPER,5,54.21,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,4094.0,44.0,2788.0,13.0,0.9893668438859352,0.9968346725103482,0.9988693170953822,0.9829681296903011,
BOOKKEEPER,6,54.13,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,8300.0,85.0,5709.0,41.0,0.9898628503279666,0.9950845222395396,0.9988864473196913,0.9815522421823792,
BOOKKEEPER,output-mean,53.64,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,2616.1666666666665,36.5,1811.1666666666667,33.666666666666664,0.9704126845992577,0.9473121261710801,0.9859252367658402,0.9067199453207149,
BOOKKEEPER,1,51.96,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,133.0,39.0,79.0,6.0,0.7732558139534884,0.9568345323741008,0.9433910498719669,0.6398430444396,
BOOKKEEPER,2,53.69,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,428.0,103.0,221.0,19.0,0.8060263653483992,0.9574944071588367,0.9304830557626979,0.663251278085664,
BOOKKEEPER,3,53.69,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,854.0,94.0,554.0,40.0,0.9008438818565401,0.9552572706935123,0.9582608335404756,0.8195924354340195,
BOOKKEEPER,4,54.13,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,1924.0,88.0,1282.0,47.0,0.9562624254473161,0.976154236428209,0.9918808119188082,0.9161005442996605,
BOOKKEEPER,5,54.21,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,4094.0,92.0,2740.0,13.0,0.978021978021978,0.9968346725103482,0.994797319651305,0.9685426000924041,
BOOKKEEPER,6,54.13,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,8292.0,154.0,5640.0,49.0,0.9817665166942932,0.9941254046277425,0.996272504201209,0.9702307047885478,
BOOKKEEPER,output-mean,53.64,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive threshold,2620.8333333333335,95.0,1752.6666666666667,29.0,0.8993628302203359,0.9727834206321249,0.9691809291577438,0.829593434523316,
BOOKKEEPER,1,51.96,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,129.0,18.0,100.0,10.0,0.8775510204081632,0.9280575539568345,0.8877575905377393,0.7795072925603629,
BOOKKEEPER,2,53.69,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,434.0,67.0,257.0,13.0,0.8662674650698603,0.970917225950783,0.8820635512469964,0.7820602514363248,
BOOKKEEPER,3,53.69,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,880.0,122.0,526.0,14.0,0.8782435129740519,0.9843400447427293,0.8980342199022289,0.814751213720876,
BOOKKEEPER,4,54.13,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,1959.0,34.0,1336.0,12.0,0.982940291018565,0.9939117199391172,0.984547100845471,0.9714726325789568,
BOOKKEEPER,5,54.21,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,4104.0,73.0,2759.0,3.0,0.9825233421115633,0.9992695398100804,0.9867463518259442,0.9772421094768098,
BOOKKEEPER,6,54.13,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,8337.0,191.0,5603.0,4.0,0.9776031894934334,0.9995204411941014,0.9832776524230776,0.9713417822617171,
BOOKKEEPER,output-mean,53.64,50.0,50.0,Random Forest,Oversampling,Best First,Sensitive learning,2640.5,84.16666666666667,1763.5,9.333333333333334,0.9275214701792729,0.9793360875989409,0.9370710777969097,0.8827292136725079,
BOOKKEEPER,1,47.87,50.0,50.0,Random Forest,Undersampling,Best First,No cost sensitive,138.0,0.0,118.0,1.0,1.0,0.9928057553956835,0.9983843433727594,0.9921706016755522,
BOOKKEEPER,2,45.67,50.0,50.0,Random Forest,Undersampling,Best First,No cost sensitive,408.0,3.0,321.0,39.0,0.9927007299270073,0.912751677852349,0.9887418178805203,0.8898886032562124,
BOOKKEEPER,3,45.67,50.0,50.0,Random Forest,Undersampling,Best First,No cost sensitive,826.0,8.0,640.0,68.0,0.9904076738609112,0.9239373601789709,0.9900260999254288,0.900124767339592,
BOOKKEEPER,4,45.06,50.0,50.0,Random Forest,Undersampling,Best First,No cost sensitive,1952.0,10.0,1360.0,19.0,0.9949031600407747,0.9903602232369355,0.9988097486547641,0.9820773373925652,
