Index;Issue;IVersion;OVersion;AVersion;FixVersion
158;TAJO-1534;0.10.0;0.10.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
159;TAJO-1536;0.11.3;0.10.1;0.11.3;0.11.0;
160;TAJO-1538;0.9.0;0.10.1;0.9.0, 0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
161;TAJO-1540;0.11.3;0.10.1;0.11.3;0.11.0;
162;TAJO-1541;0.11.0;0.10.1;;0.11.0;
163;TAJO-1552;0.10.1;0.10.1;0.10.1;0.11.1;
164;TAJO-1556;0.11.3;0.10.1;0.11.3;0.11.0;
165;TAJO-1558;0.11.3;0.10.1;0.11.3;0.11.0;
166;TAJO-156;0.2.0;0.2.0;;0.2.0;
167;TAJO-1560;0.10.0;0.10.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
168;TAJO-1561;0.10.1;0.10.1;0.10.1;0.11.1;
169;TAJO-1564;0.9.0;0.10.1;0.9.0, 0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
170;TAJO-1569;0.9.0;0.10.1;0.9.0, 0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
171;TAJO-157;0.2.0;0.2.0;;0.2.0;
172;TAJO-1572;0.10.1;0.10.1;0.10.1;0.11.1;
173;TAJO-1574;0.11.3;0.10.1;0.11.3;0.11.0;
174;TAJO-1578;0.11.0;0.10.1;0.11.0;0.12.0;
175;TAJO-158;0.2.0;0.2.0;;0.2.0;
176;TAJO-1580;0.10.0;0.10.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
177;TAJO-1581;0.11.3;0.10.1;0.11.3;0.11.0;
178;TAJO-1586;0.10.0;0.10.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
179;TAJO-159;0.2.0;0.2.0;;0.2.0;
180;TAJO-1593;0.11.0;0.10.1;;0.11.0;
181;TAJO-1594;0.10.0;0.10.1;0.10.0;0.10.1;
182;TAJO-1596;0.11.3;0.10.1;0.11.3;0.11.0;
183;TAJO-1597;0.11.3;0.10.1;0.11.3;0.11.0;
184;TAJO-1598;0.11.3;0.10.1;0.11.3;0.11.0;
185;TAJO-160;0.2.0;0.2.0;0.2.0;0.8.0;
186;TAJO-1600;0.11.3;0.10.1;0.11.3;0.11.0;
187;TAJO-1605;0.11.3;0.10.1;0.11.3;0.11.0;
188;TAJO-1608;0.10.0;0.10.1;0.10.0;0.10.1;
189;TAJO-1610;0.11.3;0.10.1;0.11.3;0.11.0;
190;TAJO-1612;0.10.0;0.10.1;0.10.0;0.10.1;
191;TAJO-1619;0.10.0;0.10.1;0.10.0;0.10.1;
192;TAJO-162;0.2.0;0.2.0;;0.2.0;
193;TAJO-1620;0.10.0;0.10.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
194;TAJO-1621;0.11.3;0.10.1;0.11.3;0.11.0;
195;TAJO-1622;0.10.0;0.10.1;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
196;TAJO-163;0.2.0;0.2.0;;0.2.0;
197;TAJO-1630;0.11.3;0.10.1;0.11.3;0.11.0;
198;TAJO-1634;0.11.3;0.10.1;0.11.3;0.11.0;
199;TAJO-1642;0.11.3;0.10.1;0.11.3;0.11.0;
200;TAJO-1643;0.11.0;0.10.1;0.11.0;0.12.0;
201;TAJO-1644;0.11.3;0.10.1;0.11.3;0.11.0;
202;TAJO-165;0.2.0;0.2.0;;0.2.0;
203;TAJO-1650;0.11.0;0.10.1;;0.11.0;
204;TAJO-1657;0.10.1;0.10.1;0.10.1;0.11.1;
205;TAJO-1674;0.11.3;0.11.1;0.11.3;0.11.0;
206;TAJO-168;0.2.0;0.2.0;;0.2.0;
207;TAJO-1681;0.11.3;0.11.1;0.11.3;0.11.0;
