@relation 'BOOKKEEPER'

@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
593,1,1,1,3,51,17,17,45,15,15,54,18,18,36,12,12,1,NO
101,1,1,1,4,8,2,2,40,10,10,64,16,16,16,4,4,1,NO
815,1,1,1,2,28,14,14,296,148,148,370,185,185,222,111,111,1,NO
239,1,1,4,54,592,10,50,3384,62,167,3556,65,167,3212,59,167,7,YES
486,1,1,1,3,15,5,5,390,130,130,678,226,226,102,34,34,1,NO
89,1,1,1,3,66,22,22,48,16,16,78,26,26,18,6,6,1,NO
113,1,1,3,27,204,7,9,957,35,77,984,36,77,930,34,77,4,YES
94,1,1,2,13,362,27,50,492,37,82,577,44,95,407,31,69,2,NO
27,1,1,1,9,108,12,12,243,27,27,243,27,27,243,27,27,1,NO
111,1,1,1,3,66,22,22,78,26,26,156,52,52,0,0,0,1,NO
209,1,1,2,22,444,20,50,78,3,8,134,6,16,22,1,2,3,NO
43,1,1,2,17,370,21,50,444,26,43,444,26,43,444,26,43,2,NO
606,1,1,1,25,203,8,11,131,5,11,176,7,11,86,3,11,3,NO
548,1,1,4,113,926,8,19,2991,26,174,3828,33,174,2154,19,174,11,YES
71,1,1,1,2,28,14,14,24,12,12,26,13,13,22,11,11,1,NO
359,1,1,4,49,520,10,19,4394,89,298,4862,99,298,3926,80,298,5,YES
101,1,1,2,32,277,8,11,68,2,4,128,4,8,8,0,1,3,YES
285,36,36,3,81,479,5,12,3024,37,79,4068,50,147,1980,24,75,9,YES
391,1,1,3,20,126,6,22,424,21,92,667,33,141,181,9,43,4,NO
453,36,36,5,213,1778,8,33,2922,13,51,3694,17,53,2150,10,49,22,YES
76,1,1,1,3,45,15,15,66,22,22,69,23,23,63,21,21,1,NO
35,1,1,1,7,42,6,6,7,1,1,7,1,1,7,1,1,1,NO
236,36,36,4,109,650,5,22,2499,22,134,3439,31,216,1559,14,52,11,YES
101,1,1,1,7,350,50,50,14,2,2,14,2,2,14,2,2,1,NO
261,1,1,1,2,28,14,14,2,1,1,10,5,5,-6,-3,0,1,NO
60,1,1,1,3,45,15,15,180,60,60,180,60,60,180,60,60,1,NO
740,3,3,3,158,1915,12,50,5619,35,208,6807,43,215,4431,28,201,14,YES
423,36,36,2,26,104,4,7,637,24,45,1196,46,50,78,3,40,1,NO
113,6,6,1,12,48,4,4,12,1,1,24,2,2,0,0,0,1,YES
69,36,36,2,24,550,22,33,44,1,4,391,16,25,-303,-12,2,2,YES
87,1,1,1,13,55,4,15,168,12,46,216,16,50,120,9,42,3,NO
94,1,1,1,3,66,22,22,51,17,17,87,29,29,15,5,5,1,NO
44,1,1,1,3,66,22,22,132,44,44,132,44,44,132,44,44,1,NO
67,1,1,1,3,15,5,5,201,67,67,201,67,67,201,67,67,1,NO
100,36,36,1,12,108,9,9,300,25,25,300,25,25,300,25,25,1,YES
274,36,36,5,94,715,7,16,844,8,42,1141,12,42,547,5,42,11,YES
332,36,36,2,31,346,11,16,474,15,28,492,15,30,456,14,26,4,YES
62,1,1,1,7,350,50,50,14,2,2,14,2,2,14,2,2,1,NO
340,1,1,3,37,288,7,17,311,8,29,340,9,30,282,7,28,5,NO
367,3,3,3,88,1044,11,50,1090,12,33,1524,17,44,656,7,31,8,YES
261,3,3,1,25,184,7,11,111,4,6,209,8,12,13,0,1,2,YES
47,1,1,1,13,429,33,33,611,47,47,611,47,47,611,47,47,1,NO
54,36,36,1,13,429,33,33,13,1,1,26,2,2,0,0,0,1,NO
358,1,1,3,20,107,5,9,2427,121,340,2467,123,340,2387,119,340,4,NO
109,1,1,2,14,427,30,50,581,41,71,651,46,71,511,36,71,2,NO
646,1,1,1,7,350,50,50,21,3,3,56,8,8,-14,-2,0,1,NO
342,1,1,1,7,350,50,50,154,22,22,294,42,42,14,2,2,1,NO
314,1,1,2,14,357,25,50,98,7,12,364,26,50,-168,-12,2,2,NO
131,26,26,1,13,52,4,4,1703,131,131,1703,131,131,1703,131,131,1,NO
53,1,1,1,3,6,2,2,159,53,53,159,53,53,159,53,53,1,NO
111,1,1,1,3,66,22,22,333,111,111,333,111,111,333,111,111,1,NO
47,1,1,1,13,429,33,33,611,47,47,611,47,47,611,47,47,1,NO
158,1,1,1,33,573,17,33,1798,54,94,2490,75,94,1106,33,94,3,YES
488,1,1,2,9,42,4,14,37,4,5,65,7,9,9,1,1,2,NO
40,1,1,1,12,60,5,5,480,40,40,480,40,40,480,40,40,1,YES
244,36,36,4,41,662,16,50,276,6,13,519,12,26,33,0,6,6,YES
53,1,1,1,3,24,8,8,159,53,53,159,53,53,159,53,53,1,NO
86,1,1,1,3,45,15,15,258,86,86,258,86,86,258,86,86,1,NO
47,1,1,1,3,45,15,15,141,47,47,141,47,47,141,47,47,1,NO
187,36,36,3,51,1052,20,50,157,3,12,308,6,15,6,0,9,6,YES
45,1,1,1,25,561,22,33,611,24,47,659,26,47,563,22,47,2,YES
150,1,1,5,104,911,8,50,2562,24,90,2830,27,90,2294,22,90,11,YES
320,1,1,4,118,962,8,33,5054,42,251,5304,44,251,4804,40,251,13,YES
226,1,1,2,13,130,10,16,1588,122,226,1588,122,226,1588,122,226,2,NO
770,1,1,2,12,114,9,15,58,4,5,81,6,7,35,2,3,2,YES
561,36,36,5,208,1185,5,33,3304,15,64,7240,34,168,-632,-3,47,22,YES
140,1,1,3,39,995,25,50,1846,47,136,1934,49,136,1758,45,136,4,YES
201,1,1,4,48,521,10,50,2067,43,88,2083,43,88,2051,42,88,6,YES
161,36,36,2,19,482,25,50,50,2,3,86,4,6,14,0,2,2,YES
108,1,1,2,16,458,28,50,365,22,39,372,23,39,358,22,39,2,NO
274,1,1,3,29,131,4,7,512,17,28,534,18,29,490,16,27,3,YES
176,1,1,3,27,161,5,11,233,8,19,1241,45,91,-775,-28,0,3,YES
