Dataset,TrainingRelease,%DataTraining,%BugInTraining,%BugInTesting,Classifier,Balancing,Selection,CostSensitive,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
TAJO,4,79.17,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,5104.0,460.0,896.0,0.0,0.9173256649892164,1.0,0.8303834808259587,0.7547773686149359,
TAJO,output-mean,60.7,50.0,50.0,Random Forest,Smote,No selection,Sensitive learning,3321.75,494.0,628.75,77.5,0.8509763033551971,0.9712335055330654,0.7541139434153987,0.5775052113675454,
TAJO,1,50.0,23.45,23.45,Random Forest,No sampling,Best First,No cost sensitive,989.0,1.0,302.0,0.0,0.998989898989899,1.0,0.9999983314812776,0.9978418035306224,
TAJO,2,50.0,28.95,28.95,Random Forest,No sampling,Best First,No cost sensitive,2704.0,190.0,932.0,50.0,0.9343469246717346,0.9818445896877269,0.9835559231945238,0.8436964420374304,
TAJO,3,50.0,27.91,27.91,Random Forest,No sampling,Best First,No cost sensitive,6323.0,740.0,1784.0,197.0,0.8952286563783095,0.9697852760736196,0.9497184391801892,0.7243537841232313,
TAJO,4,50.0,26.66,26.66,Random Forest,No sampling,Best First,No cost sensitive,13780.0,1507.0,3659.0,434.0,0.9014195067704586,0.969466722949205,0.9517698357952041,0.7257278104562239,
TAJO,output-mean,50.0,26.74,26.74,Random Forest,No sampling,Best First,No cost sensitive,5949.0,609.5,1669.25,170.25,0.9324962467026005,0.980274147177638,0.9712606324127987,0.822904960036877,
TAJO,1,50.0,23.45,23.45,Random Forest,No sampling,Best First,Sensitive threshold,989.0,117.0,186.0,0.0,0.8942133815551537,1.0,0.9989822035793063,0.7087802848159791,
TAJO,2,50.0,28.95,28.95,Random Forest,No sampling,Best First,Sensitive threshold,2750.0,537.0,585.0,4.0,0.836629145117128,0.9985475671750181,0.9801445830857596,0.605109489051095,
TAJO,3,50.0,27.91,27.91,Random Forest,No sampling,Best First,Sensitive threshold,6505.0,1494.0,1030.0,15.0,0.8132266533316664,0.9976993865030674,0.9479226420230815,0.4945947239101494,
TAJO,4,50.0,26.66,26.66,Random Forest,No sampling,Best First,Sensitive threshold,14183.0,2892.0,2274.0,31.0,0.8306295754026354,0.9978190516392289,0.9508264414188494,0.5317312861941107,
TAJO,output-mean,50.0,26.74,26.74,Random Forest,No sampling,Best First,Sensitive threshold,6106.75,1260.0,1018.75,12.5,0.8436746888516459,0.9985165013293287,0.9694689675267492,0.5850539459928336,
TAJO,1,50.0,23.45,23.45,Random Forest,No sampling,Best First,Sensitive learning,989.0,80.0,223.0,0.0,0.9251637043966323,1.0,0.8679867986798679,0.8101584339540162,
TAJO,2,50.0,28.95,28.95,Random Forest,No sampling,Best First,Sensitive learning,2751.0,408.0,714.0,3.0,0.8708452041785375,0.9989106753812637,0.81763715587245,0.7113550676424928,
TAJO,3,50.0,27.91,27.91,Random Forest,No sampling,Best First,Sensitive learning,6505.0,1371.0,1153.0,15.0,0.8259268664296597,0.9976993865030674,0.7272569832673816,0.5440892947447014,
TAJO,4,50.0,26.66,26.66,Random Forest,No sampling,Best First,Sensitive learning,14183.0,2766.0,2400.0,31.0,0.8368045312407811,0.9978190516392289,0.7311975629857004,0.5560999812894258,
TAJO,output-mean,50.0,26.74,26.74,Random Forest,No sampling,Best First,Sensitive learning,6107.0,1156.25,1122.5,12.25,0.8646850765614027,0.9986072783808899,0.78601962520135,0.655425694407659,
TAJO,1,60.49,50.0,50.0,Random Forest,Oversampling,Best First,No cost sensitive,953.0,0.0,303.0,36.0,1.0,0.9635995955510617,0.9980678553194046,0.925465121869141,
