Index;Issue;IVersion;OVersion;AVersion;FixVersion
141;BOOKKEEPER-377;4.2.0;4.1.1;4.2.0, 4.2.1, 4.2.2, 4.3.0, 4.2.3, 4.3.1, 4.3.2, 4.4.0, 4.5.0, 4.5.1;4.6.0;
142;BOOKKEEPER-38;4.0.0;4.0.0;;4.0.0;
143;BOOKKEEPER-381;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
144;BOOKKEEPER-382;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
145;BOOKKEEPER-383;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
146;BOOKKEEPER-387;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
147;BOOKKEEPER-39;4.0.0;4.0.0;;4.0.0;
148;BOOKKEEPER-392;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
149;BOOKKEEPER-395;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
150;BOOKKEEPER-396;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
151;BOOKKEEPER-397;4.2.0;4.1.1;;4.2.0;
152;BOOKKEEPER-40;4.0.0;4.0.0;4.0.0;4.1.0;
153;BOOKKEEPER-403;4.2.0;4.1.1;;4.2.0;
154;BOOKKEEPER-404;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
155;BOOKKEEPER-408;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
156;BOOKKEEPER-413;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
157;BOOKKEEPER-415;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
158;BOOKKEEPER-42;4.0.0;4.0.0;4.0.0, 4.1.0, 4.1.1, 4.2.0, 4.2.1, 4.2.2, 4.3.0, 4.2.3, 4.3.1, 4.3.2, 4.4.0, 4.5.0, 4.5.1;4.6.0;
159;BOOKKEEPER-424;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
160;BOOKKEEPER-425;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
161;BOOKKEEPER-427;4.2.0;4.1.1;;4.2.0;
162;BOOKKEEPER-43;4.0.0;4.0.0;;4.0.0;
163;BOOKKEEPER-434;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
164;BOOKKEEPER-436;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
165;BOOKKEEPER-439;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
166;BOOKKEEPER-441;4.2.0;4.1.1;;4.2.0;
167;BOOKKEEPER-442;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
168;BOOKKEEPER-446;4.2.0;4.1.1;4.2.0, 4.2.1, 4.2.2;4.3.0;
169;BOOKKEEPER-447;4.2.0;4.1.1;;4.2.0;
170;BOOKKEEPER-454;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
171;BOOKKEEPER-457;4.1.0;4.1.1;4.1.0, 4.1.1;4.2.0;
172;BOOKKEEPER-458;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
173;BOOKKEEPER-461;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
174;BOOKKEEPER-465;4.2.0;4.1.1;;4.2.0;
175;BOOKKEEPER-466;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
176;BOOKKEEPER-467;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
177;BOOKKEEPER-468;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
178;BOOKKEEPER-469;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
179;BOOKKEEPER-470;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
180;BOOKKEEPER-471;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
181;BOOKKEEPER-474;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
182;BOOKKEEPER-475;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
183;BOOKKEEPER-477;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
184;BOOKKEEPER-479;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
185;BOOKKEEPER-480;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
186;BOOKKEEPER-481;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
187;BOOKKEEPER-482;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
188;BOOKKEEPER-483;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
189;BOOKKEEPER-484;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
190;BOOKKEEPER-485;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
191;BOOKKEEPER-493;4.0.0;4.1.1;4.0.0, 4.1.0, 4.1.1;4.2.0;
