@relation 'TAJO'

@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
468,15,15,2,70,1503,21,33,945,13,33,1631,23,66,259,3,11,5,YES
59,8,8,2,29,503,17,32,205,7,10,299,10,15,111,3,5,2,YES
35,1,1,1,8,208,26,26,280,35,35,280,35,35,280,35,35,1,NO
101,20,20,4,48,946,19,130,413,8,18,684,14,28,142,2,8,4,YES
143,1,1,1,16,240,15,26,376,23,42,832,52,98,-80,-5,4,2,NO
1027,1,0,1,8,24,3,3,0,0,0,48,6,6,-48,-6,0,1,NO
180,1,1,1,4,52,13,13,4,1,1,8,2,2,0,0,0,1,NO
265,1,1,2,11,58,5,8,517,47,51,659,59,65,375,34,37,2,NO
238,1,1,1,8,8,1,1,40,5,5,48,6,6,32,4,4,1,NO
88,9,9,1,34,493,14,18,442,13,16,527,15,21,357,10,11,2,NO
127,1,1,1,1,9,9,9,21,21,21,21,21,21,21,21,21,1,NO
537,1,1,3,50,432,8,26,458,9,25,804,16,41,112,2,9,6,NO
300,1,1,1,10,370,37,37,20,2,2,30,3,3,10,1,1,1,NO
111,1,1,2,11,141,12,50,4,0,2,47,4,6,-39,-3,1,3,NO
74,1,1,1,11,110,10,10,165,15,15,242,22,22,88,8,8,1,NO
328,47,47,1,17,102,6,6,68,4,4,68,4,4,68,4,4,1,NO
113,20,20,2,34,408,12,21,187,5,7,272,8,10,102,3,4,2,NO
294,1,1,2,15,328,21,130,295,19,48,619,41,99,-29,-1,3,5,NO
103,47,47,2,34,697,20,31,136,4,7,187,5,9,85,2,5,2,NO
